"spiel_id","spiel_title","bgg_id","note"
"1367","Into the Machine: Track Gadgets","","Fill verified BGG ID"
"180","Ion Core","","Fill verified BGG ID"
"667","Ipso","","Fill verified BGG ID"
"103","Isla Bomba","","Fill verified BGG ID"
"409","It's A Match! #yoga oder #kamasutra?","","Fill verified BGG ID"
"360","JOURNEY Horizon","","Fill verified BGG ID"
"702","Jiangnan","","Fill verified BGG ID"
"1328","Joraku: 10th Anniversary Edition","","Fill verified BGG ID"
"543","Jumanji - The ultimate Level","","Fill verified BGG ID"
"1307","Jumblejack","","Fill verified BGG ID"
"370","Jurassic Zoo – Dinos einzäunen & Punkte abräumen","","Fill verified BGG ID"
"1012","KAMPF GEGEN DAS SPIESSERTUM - Weltuntergangs-Erweiterung","","Fill verified BGG ID"
"656","KRIMI total - Der Mythos der Familie - personalisierte Edition","","Fill verified BGG ID"
"657","KRIMI total - Die Party der Intrigen - personalisierte Edition","","Fill verified BGG ID"
"662","KRIMI total - The Presidents Party - english edition","","Fill verified BGG ID"
"1259","Kaiju","","Fill verified BGG ID"
"1291","Kakerlakak Minecraft","","Fill verified BGG ID"
"1107","Kavango Animal Booster Pack","","Fill verified BGG ID"
"1117","Kavango Brilliant Birds","","Fill verified BGG ID"
"1062","Kavango Captivating Cats","","Fill verified BGG ID"
"1126","Kavango Shiny Animal Pack","","Fill verified BGG ID"
"803","Killer Questions","","Fill verified BGG ID"
"537","King of the Dice Redesign","","Fill verified BGG ID"
"1174","Kingdom Legacy: Exploration","","Fill verified BGG ID"
"1124","Kingdomino New Edition","","Fill verified BGG ID"
"1144","Kinky Intentions: Who are you when you’re free to play?","","Fill verified BGG ID"
"292","Kirlo","","Fill verified BGG ID"
"349","Kleine Morde unter Freunden: Sherlock Holmes. 10 mysteriöse Mini-Fälle zum Selberspielen","","Fill verified BGG ID"
"382","Kleine Morde unter Freunden: Sherlock Holmes. 10 mysteriöse Mini-Fälle zum Selberspielen","","Fill verified BGG ID"
"390","Klick Klack Klug Starterset ab 5 Jahren","","Fill verified BGG ID"
"414","Klick Klack Klug Starterset ab 7 Jahren","","Fill verified BGG ID"
"430","Kniffel® 8","","Fill verified BGG ID"
"941","Kniffel® – Das Duell","","Fill verified BGG ID"
"1054","Knights of the Pond Table","","Fill verified BGG ID"
"829","Kobayakawa","","Fill verified BGG ID"
"442","Koffer, Katze & Sombrero","","Fill verified BGG ID"
"917","Koi","","Fill verified BGG ID"
"1397","Krabbler-Chaos","","Fill verified BGG ID"
